Relation name,Parent 1,Parent 2
account_account_account_tag,account_account,account_account_tag
account_account_financial_report,account_account,account_financial_report
account_account_financial_report_type,account_financial_report,account_account_type
account_account_tag_account_tax_template_rel,account_tax_template,account_account_tag
account_account_tax_default_rel,account_account,account_tax
account_account_template_account_tag,account_account_template,account_account_tag
account_account_template_tax_rel,account_account_template,account_tax_template
account_account_type_rel,account_account,account_journal
account_aged_trial_balance_account_journal_rel,account_aged_trial_balance,account_journal
account_aged_trial_balance_new_account_journal_rel,account_aged_trial_balance_new,account_journal
account_aged_trial_balance_res_partner_rel,account_aged_trial_balance,res_partner
account_analytic_account_accounting_report_rel,account_analytic_account,accounting_report
account_analytic_account_tag_rel,account_analytic_account,account_analytic_tag
account_analytic_line_tag_rel,account_analytic_line,account_analytic_tag
account_balance_report_journal_rel,account_balance_report,account_journal
account_common_account_report_account_journal_rel,account_common_account_report,account_journal
account_common_partner_report_account_journal_rel,account_common_partner_report,account_journal
account_common_report_account_journal_rel,account_common_report,account_journal
account_consolidation_rel,account_account,gl_consolidation_config
account_fiscal_position_br_multi_outlet_outlet_rel,account_fiscal_position,br_multi_outlet_outlet
account_fiscal_position_pos_config_rel,account_fiscal_position,pos_config
account_fiscal_position_res_country_state_rel,account_fiscal_position,res_country_state
account_invoice_account_move_line_rel,account_invoice,account_move_line
account_invoice_line_tax,account_invoice_line,account_tax
account_invoice_payment_rel,account_invoice,account_payment
account_journal_accounting_report_rel,account_journal,accounting_report
account_journal_inbound_payment_method_rel,account_payment_method,account_journal
account_journal_outbound_payment_method_rel,account_payment_method,account_journal
account_journal_type_rel,account_journal,account_account_type
account_move_line_account_tax_rel,account_move_line,account_tax
account_move_line_stock_quant_rel,account_move_line,stock_quant
account_report_general_ledger_journal_rel,account_report_general_ledger,account_journal
account_tax_account_tag,account_account_tag,account_tax
account_tax_account_voucher_line_rel,account_voucher_line,account_tax
account_tax_br_pos_order_line_master_rel,br_pos_order_line_master,account_tax
account_tax_filiation_rel,account_tax,account_tax
account_tax_pos_order_line_rel,account_tax,pos_order_line
account_tax_pos_order_sale_voucher_detail_rel,pos_order_sale_voucher_detail,account_tax
account_tax_purchase_order_line_rel,account_tax,purchase_order_line
account_tax_sale_advance_payment_inv_rel,sale_advance_payment_inv,account_tax
account_tax_sale_order_line_rel,account_tax,sale_order_line
account_tax_template_filiation_rel,account_tax_template,account_tax_template
aging_rel_partner,res_partner,account_aged_trial_balance_new
br_bundle_promotion_br_discount_group_rel,br_bundle_promotion,br_discount_group
br_bundle_promotion_br_multi_outlet_outlet_rel,br_multi_outlet_outlet,br_bundle_promotion
br_discount_group_res_users_rel,br_discount_group,res_users
br_config_voucher_pos_order_rel,br_config_voucher,pos_order
